movie_title,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,imdb_score
Stuart Little ,Color,Rob Minkoff,101.0,84.0,50.0,692.0,Nathan Lane,979.0,140015224.0,Adventure|Comedy|Family|Fantasy,Chazz Palminteri,94172,3382,Jeffrey Jones,0.0,box office hit|cat|first part|mouse|orphanage,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,179.0,English,Germany,PG,133000000.0,1999.0,886.0,1.85,0,5.9
Crash ,Color,Paul Haggis,287.0,115.0,549.0,911.0,Loretta Devine,3000.0,54557348.0,Crime|Drama|Thriller,Don Cheadle,361169,5732,Jennifer Esposito,0.0,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624.0,English,Germany,R,6500000.0,2004.0,912.0,2.35,18000,7.9
Ghost Rider: Spirit of Vengeance ,Color,Mark Neveldine,287.0,96.0,83.0,1000.0,Spencer Wilding,12000.0,51774002.0,Action|Fantasy|Thriller,Nicolas Cage,87745,16121,Christopher Lambert,1.0,deal with the devil|devil|eastern europe|ghost rider|monk,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331.0,English,USA,PG-13,57000000.0,2011.0,1000.0,2.35,18000,4.3
Gettysburg ,Color,Ron Maxwell,22.0,271.0,33.0,251.0,William Morgan Sheppard,854.0,10769960.0,Drama|History|War,Tom Berenger,21940,2107,James Patrick Stuart,0.0,american civil war|battle|blood splatter|civil war|irish american,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,256.0,English,USA,PG,25000000.0,1993.0,702.0,1.85,0,7.7
Planet of the Apes ,Color,Tim Burton,230.0,119.0,13000.0,567.0,Estella Warren,1000.0,180011740.0,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,177729,2776,Erick Avari,0.0,astronaut|cage|planet|wilhelm scream|year 2029,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,1368.0,English,USA,PG-13,100000000.0,2001.0,658.0,2.35,0,5.7
Daredevil             ,,,95.0,54.0,,0.0,Royce Johnson,577.0,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,213483,581,Charlie Cox,0.0,corruption|lawyer|partnership|superhero|vigilante,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394.0,English,USA,TV-MA,,,4.0,16.0,55000,8.8
The Pursuit of Happyness ,Color,Gabriele Muccino,201.0,117.0,125.0,168.0,Kurt Fuller,10000.0,162586036.0,Biography|Drama,Will Smith,338383,11036,James Karen,0.0,bus|intern|internship|salesman|stockbroker,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611.0,English,USA,PG-13,55000000.0,2006.0,617.0,2.35,32000,8.0
Kiss Kiss Bang Bang ,Color,Shane Black,223.0,103.0,1000.0,611.0,Corbin Bernsen,21000.0,4235837.0,Comedy|Crime|Mystery,Robert Downey Jr.,175962,23932,Larry Miller,2.0,actor|detective sergeant|hotel|nightclub|thief,http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1,336.0,English,USA,R,15000000.0,2005.0,1000.0,2.35,0,7.6
Music and Lyrics ,Color,Marc Lawrence,175.0,95.0,30.0,664.0,Scott Porter,799.0,50562555.0,Comedy|Music|Romance,Brad Garrett,81334,2787,Haley Bennett,4.0,love|lyricist|singer|singing|song,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,291.0,English,USA,PG-13,,2007.0,690.0,1.85,0,6.5
Horrible Bosses ,Color,Seth Gordon,340.0,106.0,91.0,64.0,Lindsay Sloane,18000.0,117528646.0,Comedy|Crime,Kevin Spacey,353442,18669,Reginald Ballard,5.0,black comedy|boss|chemical company|dental assistant|murder,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,387.0,English,USA,R,35000000.0,2011.0,464.0,2.35,31000,6.9
Blindness ,Color,Fernando Meirelles,229.0,121.0,353.0,18.0,Joe Pingue,45.0,3073392.0,Drama|Mystery|Sci-Fi|Thriller,Don McKellar,59462,142,Yûsuke Iseya,0.0,blindness|epidemic|hospital|pubic hair|quarantine,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,300.0,English,Canada,R,25000000.0,2008.0,30.0,1.85,0,6.6
Cleopatra ,Color,Joseph L. Mankiewicz,72.0,251.0,311.0,595.0,Richard Burton,940.0,57750000.0,Biography|Drama|History|Romance,Martin Landau,21554,2957,Roddy McDowall,2.0,cleopatra|egypt|epic|queen|roman empire,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192.0,English,UK,Approved,31115000.0,1963.0,726.0,2.2,0,7.0
Out of Time ,Color,Carl Franklin,124.0,114.0,73.0,323.0,Sanaa Lathan,18000.0,40905277.0,Crime|Drama|Romance|Thriller,Denzel Washington,45895,19739,John Billingsley,3.0,cancer|florida|insurance|life insurance policy|small town,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,157.0,English,USA,R,50000000.0,2003.0,886.0,2.35,1000,6.5
My Best Friend's Girl ,Color,Howard Deutch,80.0,112.0,41.0,490.0,Taran Killam,1000.0,19151864.0,Comedy|Romance,Dane Cook,36983,3301,Riki Lindhome,3.0,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,100.0,English,USA,R,40000000.0,2008.0,500.0,1.85,0,5.9
Ruby in Paradise ,Color,Victor Nunez,11.0,114.0,9.0,86.0,Todd Field,159.0,1001437.0,Drama|Romance,Allison Dean,2039,423,Dorothy Lyman,1.0,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,28.0,English,USA,R,800000.0,1993.0,143.0,1.85,81,7.2
The Quiet ,Color,Jamie Babbit,65.0,91.0,91.0,659.0,David Gallagher,982.0,381186.0,Drama|Thriller,Katy Mixon,13485,3299,Edie Falco,0.0,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,90.0,English,USA,R,900000.0,2005.0,796.0,2.35,698,6.4
The Powerpuff Girls             ,Color,,7.0,30.0,,265.0,Jennifer Hale,971.0,,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,Elizabeth Daily,23664,2346,Tom Kane,0.0,campy|castle thunder|female hero|female protagonist|monster,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,60.0,English,USA,TV-Y7,,,918.0,4.0,581,7.2
Black November ,Color,Jeta Amata,6.0,95.0,20.0,36.0,Nathin Butler,262.0,,Action|Crime|Drama|Thriller,Akon,385,409,Razaaq Adoti,3.0,color in title|number in title|two word title,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4.0,English,Nigeria,,7500000.0,2012.0,65.0,,389,5.6
Dodgeball: A True Underdog Story , Black and White,Rawson Marshall Thurber,191.0,92.0,43.0,936.0,Stephen Root,989.0,114324072.0,Comedy|Sport,Gary Cole,185338,4730,Joel David Moore,0.0,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392.0,English,USA,PG-13,20000000.0,2004.0,939.0,2.35,0,6.7
